INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING
1948	°ËéT½ðæi·âÓ¡(¶¨Éí+É¢¹¦)	14	STD_IMPACT_014	1	165	-1	136	100	-1	0	1	0	0	0	0	0	0	0	0	6000	0	0	0	0	0	0	¿É·ñÊ¹ÓÃÈÎºÎ¼¼ÄÜ£¨CanAction1±ê¼Ç£¬-1ÎªÎÞÐ§£©	1	0	"¿É·ñÊ¹ÓÃÈÎºÎ¼¼ÄÜ£¨CanAction2±ê¼Ç,-1ÎªÎÞÐ§£©"	0	0	"¿É·ñÒÆ¶¯£¨CanMove±ê¼Ç,-1ÎªÎÞÐ§£©"	0	0	"ÎÞµÐ·ñ£¨Unbreakable±ê¼Ç,-1ÎªÎÞÐ§£©"	0	0	ÒÆ¶¯ËÙ¶ÈÐÞÕý%£¨0ÎªÎÞÐ§£©	0	0	ÒþÉí¼¶±ðÐÞÕý£¨0ÎªÎÞÐ§£©	0	0	·´Òþ¼¶±ðÐÞÕý£¨0ÎªÎÞÐ§£©	0	0	±äÉíID(-1ÎªÎÞÐ§)	-1	0	Æï³ËID(-1ÎªÎÞÐ§)	-1	0	"ÔÊÐí»¹ÊÇ½ûÖ¹, 1: ÔÊÐí£» 0: ½ûÖ¹£» -1: ÎÞÐ§Öµ£»"	-1	0	¼¼ÄÜ¼¯ºÏID	-1	0	Ð§¹û¼¯ºÏID	-1	0			0			0			0			0	
1949	°ËéT½ðæi·âÓ¡(¶¨Éí+É¢¹¦)	14	STD_IMPACT_014	1	165	-1	136	110	-1	0	1	0	0	0	0	0	0	0	0	6000	0	0	0	0	0	0	¿É·ñÊ¹ÓÃÈÎºÎ¼¼ÄÜ£¨CanAction1±ê¼Ç£¬-1ÎªÎÞÐ§£©	1	0	"¿É·ñÊ¹ÓÃÈÎºÎ¼¼ÄÜ£¨CanAction2±ê¼Ç,-1ÎªÎÞÐ§£©"	0	0	"¿É·ñÒÆ¶¯£¨CanMove±ê¼Ç,-1ÎªÎÞÐ§£©"	0	0	"ÎÞµÐ·ñ£¨Unbreakable±ê¼Ç,-1ÎªÎÞÐ§£©"	0	0	ÒÆ¶¯ËÙ¶ÈÐÞÕý%£¨0ÎªÎÞÐ§£©	0	0	ÒþÉí¼¶±ðÐÞÕý£¨0ÎªÎÞÐ§£©	0	0	·´Òþ¼¶±ðÐÞÕý£¨0ÎªÎÞÐ§£©	0	0	±äÉíID(-1ÎªÎÞÐ§)	-1	0	Æï³ËID(-1ÎªÎÞÐ§)	-1	0	"ÔÊÐí»¹ÊÇ½ûÖ¹, 1: ÔÊÐí£» 0: ½ûÖ¹£» -1: ÎÞÐ§Öµ£»"	-1	0	¼¼ÄÜ¼¯ºÏID	-1	0	Ð§¹û¼¯ºÏID	-1	0			0			0			0			0	
1950	°ËéT½ðæi·âÓ¡(¶¨Éí+É¢¹¦)	14	STD_IMPACT_014	1	165	-1	136	120	-1	0	1	0	0	0	0	0	0	0	0	6000	0	0	0	0	0	0	¿É·ñÊ¹ÓÃÈÎºÎ¼¼ÄÜ£¨CanAction1±ê¼Ç£¬-1ÎªÎÞÐ§£©	1	0	"¿É·ñÊ¹ÓÃÈÎºÎ¼¼ÄÜ£¨CanAction2±ê¼Ç,-1ÎªÎÞÐ§£©"	0	0	"¿É·ñÒÆ¶¯£¨CanMove±ê¼Ç,-1ÎªÎÞÐ§£©"	0	0	"ÎÞµÐ·ñ£¨Unbreakable±ê¼Ç,-1ÎªÎÞÐ§£©"	0	0	ÒÆ¶¯ËÙ¶ÈÐÞÕý%£¨0ÎªÎÞÐ§£©	0	0	ÒþÉí¼¶±ðÐÞÕý£¨0ÎªÎÞÐ§£©	0	0	·´Òþ¼¶±ðÐÞÕý£¨0ÎªÎÞÐ§£©	0	0	±äÉíID(-1ÎªÎÞÐ§)	-1	0	Æï³ËID(-1ÎªÎÞÐ§)	-1	0	"ÔÊÐí»¹ÊÇ½ûÖ¹, 1: ÔÊÐí£» 0: ½ûÖ¹£» -1: ÎÞÐ§Öµ£»"	-1	0	¼¼ÄÜ¼¯ºÏID	-1	0	Ð§¹û¼¯ºÏID	-1	0			0			0			0			0	
1951	ÒÔÒÝ´ý„Ú(¼ÓÃüÖÐ)	13	STD_IMPACT_013	1	166	-1	166	10	1	0	0	1	0	0	0	0	0	0	0	600000	0	0	0	0	0	0	ÃüÖÐ+	100	5	ÉÁ±Ü+	0	0	»áÐÄ¹¥»÷+	0	0	»áÐÄ·ÀÓù+		0			0			0			0			0			0			0			0			0			0			0			0			0	
1952	ÒÔÒÝ´ý„Ú(¼ÓÃüÖÐ)	13	STD_IMPACT_013	1	166	-1	166	20	1	0	0	1	0	0	0	0	0	0	0	600000	0	0	0	0	0	0	ÃüÖÐ+	180	5	ÉÁ±Ü+	0	0	»áÐÄ¹¥»÷+	0	0	»áÐÄ·ÀÓù+		0			0			0			0			0			0			0			0			0			0			0			0			0	
1953	ÒÔÒÝ´ý„Ú(¼ÓÃüÖÐ)	13	STD_IMPACT_013	1	166	-1	166	30	1	0	0	1	0	0	0	0	0	0	0	600000	0	0	0	0	0	0	ÃüÖÐ+	260	5	ÉÁ±Ü+	0	0	»áÐÄ¹¥»÷+	0	0	»áÐÄ·ÀÓù+		0			0			0			0			0			0			0			0			0			0			0			0			0	
1954	ÒÔÒÝ´ý„Ú(¼ÓÃüÖÐ)	13	STD_IMPACT_013	1	166	-1	166	40	1	0	0	1	0	0	0	0	0	0	0	600000	0	0	0	0	0	0	ÃüÖÐ+	340	5	ÉÁ±Ü+	0	0	»áÐÄ¹¥»÷+	0	0	»áÐÄ·ÀÓù+		0			0			0			0			0			0			0			0			0			0			0			0			0	
1955	ÒÔÒÝ´ý„Ú(¼ÓÃüÖÐ)	13	STD_IMPACT_013	1	166	-1	166	50	1	0	0	1	0	0	0	0	0	0	0	600000	0	0	0	0	0	0	ÃüÖÐ+	420	5	ÉÁ±Ü+	0	0	»áÐÄ¹¥»÷+	0	0	»áÐÄ·ÀÓù+		0			0			0			0			0			0			0			0			0			0			0			0			0	
1956	ÒÔÒÝ´ý„Ú(¼ÓÃüÖÐ)	13	STD_IMPACT_013	1	166	-1	166	60	1	0	0	1	0	0	0	0	0	0	0	600000	0	0	0	0	0	0	ÃüÖÐ+	500	5	ÉÁ±Ü+	0	0	»áÐÄ¹¥»÷+	0	0	»áÐÄ·ÀÓù+		0			0			0			0			0			0			0			0			0			0			0			0			0	
1957	ÒÔÒÝ´ý„Ú(¼ÓÃüÖÐ)	13	STD_IMPACT_013	1	166	-1	166	70	1	0	0	1	0	0	0	0	0	0	0	600000	0	0	0	0	0	0	ÃüÖÐ+	580	5	ÉÁ±Ü+	0	0	»áÐÄ¹¥»÷+	0	0	»áÐÄ·ÀÓù+		0			0			0			0			0			0			0			0			0			0			0			0			0	
1958	ÒÔÒÝ´ý„Ú(¼ÓÃüÖÐ)	13	STD_IMPACT_013	1	166	-1	166	80	1	0	0	1	0	0	0	0	0	0	0	600000	0	0	0	0	0	0	ÃüÖÐ+	660	5	ÉÁ±Ü+	0	0	»áÐÄ¹¥»÷+	0	0	»áÐÄ·ÀÓù+		0			0			0			0			0			0			0			0			0			0			0			0			0	
1959	ÒÔÒÝ´ý„Ú(¼ÓÃüÖÐ)	13	STD_IMPACT_013	1	166	-1	166	90	1	0	0	1	0	0	0	0	0	0	0	600000	0	0	0	0	0	0	ÃüÖÐ+	740	5	ÉÁ±Ü+	0	0	»áÐÄ¹¥»÷+	0	0	»áÐÄ·ÀÓù+		0			0			0			0			0			0			0			0			0			0			0			0			0	
1960	ÒÔÒÝ´ý„Ú(¼ÓÃüÖÐ)	13	STD_IMPACT_013	1	166	-1	166	100	1	0	0	1	0	0	0	0	0	0	0	600000	0	0	0	0	0	0	ÃüÖÐ+	820	5	ÉÁ±Ü+	0	0	»áÐÄ¹¥»÷+	0	0	»áÐÄ·ÀÓù+		0			0			0			0			0			0			0			0			0			0			0			0			0	
1961	ÒÔÒÝ´ý„Ú(¼ÓÃüÖÐ)	13	STD_IMPACT_013	1	166	-1	166	110	1	0	0	1	0	0	0	0	0	0	0	600000	0	0	0	0	0	0	ÃüÖÐ+	900	5	ÉÁ±Ü+	0	0	»áÐÄ¹¥»÷+	0	0	»áÐÄ·ÀÓù+		0			0			0			0			0			0			0			0			0			0			0			0			0	
1962	ÒÔÒÝ´ý„Ú(¼ÓÃüÖÐ)	13	STD_IMPACT_013	1	166	-1	166	120	1	0	0	1	0	0	0	0	0	0	0	600000	0	0	0	0	0	0	ÃüÖÐ+	980	5	ÉÁ±Ü+	0	0	»áÐÄ¹¥»÷+	0	0	»áÐÄ·ÀÓù+		0			0			0			0			0			0			0			0			0			0			0			0			0	
1963	Ö¸üc½­É½(˜ËÓ›Ì“Èõ‚ûº¦·Å´ó)	69	STD_IMPACT_046	1	36	-1	36	5	-1	0	1	0	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	Ó°ÏìµÄ¼¼ÄÜ¼¯ºÏID(-1´ú±íËùÓÐ¼¼ÄÜ)	-1	0	ÉËº¦ÐÞÕýÂÊ	10	0		0	0						0			0			0			0			0			0			0			0			0			0			0			0	
1964	Ö¸üc½­É½(˜ËÓ›Ì“Èõ‚ûº¦·Å´ó)	69	STD_IMPACT_046	1	36	-1	36	15	-1	0	1	0	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	Ó°ÏìµÄ¼¼ÄÜ¼¯ºÏID(-1´ú±íËùÓÐ¼¼ÄÜ)	-1	0	ÉËº¦ÐÞÕýÂÊ	11	0		0	0						0			0			0			0			0			0			0			0			0			0			0			0	
1965	Ö¸üc½­É½(˜ËÓ›Ì“Èõ‚ûº¦·Å´ó)	69	STD_IMPACT_046	1	36	-1	36	25	-1	0	1	0	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	Ó°ÏìµÄ¼¼ÄÜ¼¯ºÏID(-1´ú±íËùÓÐ¼¼ÄÜ)	-1	0	ÉËº¦ÐÞÕýÂÊ	12	0		0	0						0			0			0			0			0			0			0			0			0			0			0			0	
1966	Ö¸üc½­É½(˜ËÓ›Ì“Èõ‚ûº¦·Å´ó)	69	STD_IMPACT_046	1	36	-1	36	35	-1	0	1	0	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	Ó°ÏìµÄ¼¼ÄÜ¼¯ºÏID(-1´ú±íËùÓÐ¼¼ÄÜ)	-1	0	ÉËº¦ÐÞÕýÂÊ	13	0		0	0						0			0			0			0			0			0			0			0			0			0			0			0	
1967	Ö¸üc½­É½(˜ËÓ›Ì“Èõ‚ûº¦·Å´ó)	69	STD_IMPACT_046	1	36	-1	36	45	-1	0	1	0	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	Ó°ÏìµÄ¼¼ÄÜ¼¯ºÏID(-1´ú±íËùÓÐ¼¼ÄÜ)	-1	0	ÉËº¦ÐÞÕýÂÊ	14	0		0	0						0			0			0			0			0			0			0			0			0			0			0			0	
1968	Ö¸üc½­É½(˜ËÓ›Ì“Èõ‚ûº¦·Å´ó)	69	STD_IMPACT_046	1	36	-1	36	55	-1	0	1	0	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	Ó°ÏìµÄ¼¼ÄÜ¼¯ºÏID(-1´ú±íËùÓÐ¼¼ÄÜ)	-1	0	ÉËº¦ÐÞÕýÂÊ	15	0		0	0						0			0			0			0			0			0			0			0			0			0			0			0	
1969	Ö¸üc½­É½(˜ËÓ›Ì“Èõ‚ûº¦·Å´ó)	69	STD_IMPACT_046	1	36	-1	36	65	-1	0	1	0	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	Ó°ÏìµÄ¼¼ÄÜ¼¯ºÏID(-1´ú±íËùÓÐ¼¼ÄÜ)	-1	0	ÉËº¦ÐÞÕýÂÊ	16	0		0	0						0			0			0			0			0			0			0			0			0			0			0			0	
1970	Ö¸üc½­É½(˜ËÓ›Ì“Èõ‚ûº¦·Å´ó)	69	STD_IMPACT_046	1	36	-1	36	75	-1	0	1	0	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	Ó°ÏìµÄ¼¼ÄÜ¼¯ºÏID(-1´ú±íËùÓÐ¼¼ÄÜ)	-1	0	ÉËº¦ÐÞÕýÂÊ	17	0		0	0						0			0			0			0			0			0			0			0			0			0			0			0	
1971	Ö¸üc½­É½(˜ËÓ›Ì“Èõ‚ûº¦·Å´ó)	69	STD_IMPACT_046	1	36	-1	36	85	-1	0	1	0	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	Ó°ÏìµÄ¼¼ÄÜ¼¯ºÏID(-1´ú±íËùÓÐ¼¼ÄÜ)	-1	0	ÉËº¦ÐÞÕýÂÊ	18	0		0	0						0			0			0			0			0			0			0			0			0			0			0			0	
1972	Ö¸üc½­É½(˜ËÓ›Ì“Èõ‚ûº¦·Å´ó)	69	STD_IMPACT_046	1	36	-1	36	95	-1	0	1	0	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	Ó°ÏìµÄ¼¼ÄÜ¼¯ºÏID(-1´ú±íËùÓÐ¼¼ÄÜ)	-1	0	ÉËº¦ÐÞÕýÂÊ	19	0		0	0						0			0			0			0			0			0			0			0			0			0			0			0	
1973	Ö¸üc½­É½(˜ËÓ›Ì“Èõ‚ûº¦·Å´ó)	69	STD_IMPACT_046	1	36	-1	36	105	-1	0	1	0	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	Ó°ÏìµÄ¼¼ÄÜ¼¯ºÏID(-1´ú±íËùÓÐ¼¼ÄÜ)	-1	0	ÉËº¦ÐÞÕýÂÊ	20	0		0	0						0			0			0			0			0			0			0			0			0			0			0			0	
1974	Ö¸üc½­É½(˜ËÓ›Ì“Èõ‚ûº¦·Å´ó)	69	STD_IMPACT_046	1	36	-1	36	115	-1	0	1	0	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	Ó°ÏìµÄ¼¼ÄÜ¼¯ºÏID(-1´ú±íËùÓÐ¼¼ÄÜ)	-1	0	ÉËº¦ÐÞÕýÂÊ	21	0		0	0						0			0			0			0			0			0			0			0			0			0			0			0	
1975	Ììî¸Õýšâ£¨¼Ó¿¹£©	11	StdImpact011	1	168	-1	168	10	1	0	0	1	0	0	0	0	0	0	0	300000	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	±ùÏµ¹¥»÷ÐÞÕý	0	0	±ùÏµ¿¹ÐÔÐÞÕý	6	0	»ðÏµ¹¥»÷ÐÞÕý	0	0	»ðÏµ¿¹ÐÔÐÞÕý	6	0	µçÏµ¹¥»÷ÐÞÕý	0	0	µçÏµ¿¹ÐÔÐÞÕý	6	0	¶¾Ïµ¹¥»÷ÐÞÕý	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	6	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
1976	Ììî¸Õýšâ£¨¼Ó¿¹£©	11	StdImpact011	1	168	-1	168	20	1	0	0	1	0	0	0	0	0	0	0	300000	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	±ùÏµ¹¥»÷ÐÞÕý	0	0	±ùÏµ¿¹ÐÔÐÞÕý	8	0	»ðÏµ¹¥»÷ÐÞÕý	0	0	»ðÏµ¿¹ÐÔÐÞÕý	8	0	µçÏµ¹¥»÷ÐÞÕý	0	0	µçÏµ¿¹ÐÔÐÞÕý	8	0	¶¾Ïµ¹¥»÷ÐÞÕý	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	8	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
1977	Ììî¸Õýšâ£¨¼Ó¿¹£©	11	StdImpact011	1	168	-1	168	30	1	0	0	1	0	0	0	0	0	0	0	300000	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	±ùÏµ¹¥»÷ÐÞÕý	0	0	±ùÏµ¿¹ÐÔÐÞÕý	10	0	»ðÏµ¹¥»÷ÐÞÕý	0	0	»ðÏµ¿¹ÐÔÐÞÕý	10	0	µçÏµ¹¥»÷ÐÞÕý	0	0	µçÏµ¿¹ÐÔÐÞÕý	10	0	¶¾Ïµ¹¥»÷ÐÞÕý	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	10	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
1978	Ììî¸Õýšâ£¨¼Ó¿¹£©	11	StdImpact011	1	168	-1	168	40	1	0	0	1	0	0	0	0	0	0	0	300000	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	±ùÏµ¹¥»÷ÐÞÕý	0	0	±ùÏµ¿¹ÐÔÐÞÕý	12	0	»ðÏµ¹¥»÷ÐÞÕý	0	0	»ðÏµ¿¹ÐÔÐÞÕý	12	0	µçÏµ¹¥»÷ÐÞÕý	0	0	µçÏµ¿¹ÐÔÐÞÕý	12	0	¶¾Ïµ¹¥»÷ÐÞÕý	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	12	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
1979	Ììî¸Õýšâ£¨¼Ó¿¹£©	11	StdImpact011	1	168	-1	168	50	1	0	0	1	0	0	0	0	0	0	0	300000	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	±ùÏµ¹¥»÷ÐÞÕý	0	0	±ùÏµ¿¹ÐÔÐÞÕý	14	0	»ðÏµ¹¥»÷ÐÞÕý	0	0	»ðÏµ¿¹ÐÔÐÞÕý	14	0	µçÏµ¹¥»÷ÐÞÕý	0	0	µçÏµ¿¹ÐÔÐÞÕý	14	0	¶¾Ïµ¹¥»÷ÐÞÕý	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	14	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
1980	Ììî¸Õýšâ£¨¼Ó¿¹£©	11	StdImpact011	1	168	-1	168	60	1	0	0	1	0	0	0	0	0	0	0	300000	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	±ùÏµ¹¥»÷ÐÞÕý	0	0	±ùÏµ¿¹ÐÔÐÞÕý	16	0	»ðÏµ¹¥»÷ÐÞÕý	0	0	»ðÏµ¿¹ÐÔÐÞÕý	16	0	µçÏµ¹¥»÷ÐÞÕý	0	0	µçÏµ¿¹ÐÔÐÞÕý	16	0	¶¾Ïµ¹¥»÷ÐÞÕý	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	16	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
1981	Ììî¸Õýšâ£¨¼Ó¿¹£©	11	StdImpact011	1	168	-1	168	70	1	0	0	1	0	0	0	0	0	0	0	300000	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	±ùÏµ¹¥»÷ÐÞÕý	0	0	±ùÏµ¿¹ÐÔÐÞÕý	18	0	»ðÏµ¹¥»÷ÐÞÕý	0	0	»ðÏµ¿¹ÐÔÐÞÕý	18	0	µçÏµ¹¥»÷ÐÞÕý	0	0	µçÏµ¿¹ÐÔÐÞÕý	18	0	¶¾Ïµ¹¥»÷ÐÞÕý	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	18	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
1982	Ììî¸Õýšâ£¨¼Ó¿¹£©	11	StdImpact011	1	168	-1	168	80	1	0	0	1	0	0	0	0	0	0	0	300000	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	±ùÏµ¹¥»÷ÐÞÕý	0	0	±ùÏµ¿¹ÐÔÐÞÕý	20	0	»ðÏµ¹¥»÷ÐÞÕý	0	0	»ðÏµ¿¹ÐÔÐÞÕý	20	0	µçÏµ¹¥»÷ÐÞÕý	0	0	µçÏµ¿¹ÐÔÐÞÕý	20	0	¶¾Ïµ¹¥»÷ÐÞÕý	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	20	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
1983	Ììî¸Õýšâ£¨¼Ó¿¹£©	11	StdImpact011	1	168	-1	168	90	1	0	0	1	0	0	0	0	0	0	0	300000	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	±ùÏµ¹¥»÷ÐÞÕý	0	0	±ùÏµ¿¹ÐÔÐÞÕý	22	0	»ðÏµ¹¥»÷ÐÞÕý	0	0	»ðÏµ¿¹ÐÔÐÞÕý	22	0	µçÏµ¹¥»÷ÐÞÕý	0	0	µçÏµ¿¹ÐÔÐÞÕý	22	0	¶¾Ïµ¹¥»÷ÐÞÕý	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	22	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
1984	Ììî¸Õýšâ£¨¼Ó¿¹£©	11	StdImpact011	1	168	-1	168	100	1	0	0	1	0	0	0	0	0	0	0	300000	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	±ùÏµ¹¥»÷ÐÞÕý	0	0	±ùÏµ¿¹ÐÔÐÞÕý	24	0	»ðÏµ¹¥»÷ÐÞÕý	0	0	»ðÏµ¿¹ÐÔÐÞÕý	24	0	µçÏµ¹¥»÷ÐÞÕý	0	0	µçÏµ¿¹ÐÔÐÞÕý	24	0	¶¾Ïµ¹¥»÷ÐÞÕý	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	24	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
1985	Ììî¸Õýšâ£¨¼Ó¿¹£©	11	StdImpact011	1	168	-1	168	110	1	0	0	1	0	0	0	0	0	0	0	300000	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	±ùÏµ¹¥»÷ÐÞÕý	0	0	±ùÏµ¿¹ÐÔÐÞÕý	26	0	»ðÏµ¹¥»÷ÐÞÕý	0	0	»ðÏµ¿¹ÐÔÐÞÕý	26	0	µçÏµ¹¥»÷ÐÞÕý	0	0	µçÏµ¿¹ÐÔÐÞÕý	26	0	¶¾Ïµ¹¥»÷ÐÞÕý	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	26	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
1986	Ììî¸Õýšâ£¨¼Ó¿¹£©	11	StdImpact011	1	168	-1	168	120	1	0	0	1	0	0	0	0	0	0	0	300000	0	0	0	0	0	0	ÎïÀí¹¥»÷+	0	0	ÎïÀí·ÀÓù+	0	0	Ä§·¨¹¥»÷+	0	0	Ä§·¨·ÀÓù+	0	0	±ùÏµ¹¥»÷ÐÞÕý	0	0	±ùÏµ¿¹ÐÔÐÞÕý	28	0	»ðÏµ¹¥»÷ÐÞÕý	0	0	»ðÏµ¿¹ÐÔÐÞÕý	28	0	µçÏµ¹¥»÷ÐÞÕý	0	0	µçÏµ¿¹ÐÔÐÞÕý	28	0	¶¾Ïµ¹¥»÷ÐÞÕý	0	0	¶¾Ïµ¿¹ÐÔÐÞÕý	28	0	MAX_HPÐÞÕý	0	0	MAX_MPÐÞÕý	0	0	MAX_RAGEÐÞÕý	0	0	MAX_STRIKE_POINTÐÞÕý	0	0	
1987	ìoÓ°³Áèµ£¨·¨Á¦È¼Ÿý£©	5	STD_IMPACT_005	0	7	-1	-1	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	HPÐÞ¸Ä°Ù·ÖÂÊ	0	0	MPÐÞ¸Ä°Ù·ÖÂÊ	-30	0	RageÐÞ¸Ä°Ù·ÖÂÊ	0	0	StrikePointÐÞ¸Ä°Ù·ÖÂÊ	0	0						0			0			0			0			0			0			0			0			0			0			0	HPDOT1¼õÑª
1988	ìoÓ°³Áèµ£¨·¨Á¦È¼Ÿý£©	5	STD_IMPACT_005	0	7	-1	-1	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	HPÐÞ¸Ä°Ù·ÖÂÊ	0	0	MPÐÞ¸Ä°Ù·ÖÂÊ	-32	0	RageÐÞ¸Ä°Ù·ÖÂÊ	0	0	StrikePointÐÞ¸Ä°Ù·ÖÂÊ	0	0						0			0			0			0			0			0			0			0			0			0			0	HPDOT1¼õÑª
1989	ìoÓ°³Áèµ£¨·¨Á¦È¼Ÿý£©	5	STD_IMPACT_005	0	7	-1	-1	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	HPÐÞ¸Ä°Ù·ÖÂÊ	0	0	MPÐÞ¸Ä°Ù·ÖÂÊ	-34	0	RageÐÞ¸Ä°Ù·ÖÂÊ	0	0	StrikePointÐÞ¸Ä°Ù·ÖÂÊ	0	0						0			0			0			0			0			0			0			0			0			0			0	HPDOT1¼õÑª
